[10.0 ns] clk=0 | rst=1 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[1870.0 ns] clk=0 | rst=0 | inst_addr=0000010010 | inst_in=000111000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1890.0 ns] clk=0 | rst=0 | inst_addr=0000010010 | inst_in=000111000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1910.0 ns] clk=0 | rst=0 | inst_addr=0000010010 | inst_in=000111000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1930.0 ns] clk=0 | rst=0 | inst_addr=0000010010 | inst_in=000111000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1950.0 ns] clk=0 | rst=0 | inst_addr=0000010010 | inst_in=000111000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1970.0 ns] clk=0 | rst=0 | inst_addr=0000010011 | inst_in=001101000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1990.0 ns] clk=0 | rst=0 | inst_addr=0000010011 | inst_in=001101000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2010.0 ns] clk=0 | rst=0 | inst_addr=0000010011 | inst_in=001101000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2030.0 ns] clk=0 | rst=0 | inst_addr=0000010011 | inst_in=001101000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2050.0 ns] clk=0 | rst=0 | inst_addr=0000010011 | inst_in=001101000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2070.0 ns] clk=0 | rst=0 | inst_addr=0000010100 | inst_in=101010010000000101 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2090.0 ns] clk=0 | rst=0 | inst_addr=0000010100 | inst_in=101010010000000101 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2110.0 ns] clk=0 | rst=0 | inst_addr=0000010100 | inst_in=101010010000000101 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2130.0 ns] clk=0 | rst=0 | inst_addr=0000010100 | inst_in=101010010000000101 | data_addr=0000000101 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2150.0 ns] clk=0 | rst=0 | inst_addr=0000010100 | inst_in=101010010000000101 | data_addr=0000000101 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2170.0 ns] clk=0 | rst=0 | inst_addr=0000010101 | inst_in=101010100000000110 | data_addr=0000000101 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2190.0 ns] clk=0 | rst=0 | inst_addr=0000010101 | inst_in=101010100000000110 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2210.0 ns] clk=0 | rst=0 | inst_addr=0000010101 | inst_in=101010100000000110 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2230.0 ns] clk=0 | rst=0 | inst_addr=0000010101 | inst_in=101010100000000110 | data_addr=0000000110 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2250.0 ns] clk=0 | rst=0 | inst_addr=0000010101 | inst_in=101010100000000110 | data_addr=0000000110 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2270.0 ns] clk=0 | rst=0 | inst_addr=0000010110 | inst_in=101010000000000111 | data_addr=0000000110 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2290.0 ns] clk=0 | rst=0 | inst_addr=0000010110 | inst_in=101010000000000111 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2310.0 ns] clk=0 | rst=0 | inst_addr=0000010110 | inst_in=101010000000000111 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[2330.0 ns] clk=0 | rst=0 | inst_addr=0000010110 | inst_in=101010000000000111 | data_addr=0000000111 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2350.0 ns] clk=0 | rst=0 | inst_addr=0000010110 | inst_in=101010000000000111 | data_addr=0000000111 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2370.0 ns] clk=0 | rst=0 | inst_addr=0000010111 | inst_in=100110010000000101 | data_addr=0000000111 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2390.0 ns] clk=0 | rst=0 | inst_addr=0000010111 | inst_in=100110010000000101 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2410.0 ns] clk=0 | rst=0 | inst_addr=0000010111 | inst_in=100110010000000101 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2430.0 ns] clk=0 | rst=0 | inst_addr=0000010111 | inst_in=100110010000000101 | data_addr=0000000101 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2450.0 ns] clk=0 | rst=0 | inst_addr=0000010111 | inst_in=100110010000000101 | data_addr=0000000101 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2470.0 ns] clk=0 | rst=0 | inst_addr=0000011000 | inst_in=100110100000000111 | data_addr=0000000101 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2490.0 ns] clk=0 | rst=0 | inst_addr=0000011000 | inst_in=100110100000000111 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2510.0 ns] clk=0 | rst=0 | inst_addr=0000011000 | inst_in=100110100000000111 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2530.0 ns] clk=0 | rst=0 | inst_addr=0000011000 | inst_in=100110100000000111 | data_addr=0000000111 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2550.0 ns] clk=0 | rst=0 | inst_addr=0000011000 | inst_in=100110100000000111 | data_addr=0000000111 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2570.0 ns] clk=0 | rst=0 | inst_addr=0000011001 | inst_in=001100000000001001 | data_addr=0000000111 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2590.0 ns] clk=0 | rst=0 | inst_addr=0000011001 | inst_in=001100000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2610.0 ns] clk=0 | rst=0 | inst_addr=0000011001 | inst_in=001100000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2630.0 ns] clk=0 | rst=0 | inst_addr=0000011001 | inst_in=001100000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2650.0 ns] clk=0 | rst=0 | inst_addr=0000011001 | inst_in=001100000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2670.0 ns] clk=0 | rst=0 | inst_addr=0000011010 | inst_in=000110000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2690.0 ns] clk=0 | rst=0 | inst_addr=0000011010 | inst_in=000110000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2710.0 ns] clk=0 | rst=0 | inst_addr=0000011010 | inst_in=000110000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2730.0 ns] clk=0 | rst=0 | inst_addr=0000011010 | inst_in=000110000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
[2750.0 ns] clk=0 | rst=0 | inst_addr=0000011010 | inst_in=000110000000001001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0101101001011010 | done=0
