[51.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011000100100110 | x_o=00111111100001010 | y_o=00000111110011001 | theta_o=11111111111111111
[52.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011000100100110 | x_o=00111111010111101 | y_o=00001000111010000 | theta_o=11111111111111111
[53.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011001101100001 | x_o=00111111010111101 | y_o=00001000111010000 | theta_o=11111111111111111
[54.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011001101100001 | x_o=00111111001101010 | y_o=00001010000000100 | theta_o=11111111111111111
[55.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011010110011101 | x_o=00111111001101010 | y_o=00001010000000100 | theta_o=11111111111111111
[56.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011010110011101 | x_o=00111111000001010 | y_o=00001011000111010 | theta_o=11111111111111111
[57.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011011111011001 | x_o=00111111000001010 | y_o=00001011000111010 | theta_o=11111111111111111
[58.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011011111011001 | x_o=00111110110100011 | y_o=00001100001101011 | theta_o=11111111111111111
[59.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011101000010101 | x_o=00111110110100011 | y_o=00001100001101011 | theta_o=11111111111111111
[60.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011101000010101 | x_o=00111110100101110 | y_o=00001101010011111 | theta_o=00000000000000000
[61.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011110001010001 | x_o=00111110100101110 | y_o=00001101010011111 | theta_o=00000000000000000
[62.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011110001010001 | x_o=00111110010110100 | y_o=00001110011001000 | theta_o=00000000000000000
[63.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011111010001101 | x_o=00111110010110100 | y_o=00001110011001000 | theta_o=00000000000000000
[64.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00011111010001101 | x_o=00111110000101110 | y_o=00001111011110111 | theta_o=00000000000000000
[65.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100000011001001 | x_o=00111110000101110 | y_o=00001111011110111 | theta_o=00000000000000000
[66.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100000011001001 | x_o=00111101110100011 | y_o=00010000100011110 | theta_o=00000000000000000
[67.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100001100000101 | x_o=00111101110100011 | y_o=00010000100011110 | theta_o=00000000000000000
[68.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100001100000101 | x_o=00111101100000101 | y_o=00010001101001010 | theta_o=00000000000000000
[69.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100010101000001 | x_o=00111101100000101 | y_o=00010001101001010 | theta_o=00000000000000000
[70.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100010101000001 | x_o=00111101001100111 | y_o=00010010101100111 | theta_o=00000000000000000
[71.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100011101111101 | x_o=00111101001100111 | y_o=00010010101100111 | theta_o=00000000000000000
[72.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100011101111101 | x_o=00111100110111100 | y_o=00010011110001001 | theta_o=00000000000000000
[73.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100100110111001 | x_o=00111100110111100 | y_o=00010011110001001 | theta_o=00000000000000000
[74.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100100110111001 | x_o=00111100100000001 | y_o=00010100110110000 | theta_o=11111111111111110
[75.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100101111110100 | x_o=00111100100000001 | y_o=00010100110110000 | theta_o=11111111111111110
[76.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100101111110100 | x_o=00111100001000001 | y_o=00010101111001010 | theta_o=11111111111111110
[77.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100111000110000 | x_o=00111100001000001 | y_o=00010101111001010 | theta_o=11111111111111110
[78.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00100111000110000 | x_o=00111011101111001 | y_o=00010110111100011 | theta_o=11111111111111110
[79.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101000001101100 | x_o=00111011101111001 | y_o=00010110111100011 | theta_o=11111111111111110
[80.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101000001101100 | x_o=00111011010101001 | y_o=00010111111110111 | theta_o=11111111111111110
[81.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101001010101000 | x_o=00111011010101001 | y_o=00010111111110111 | theta_o=11111111111111110
[82.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101001010101000 | x_o=00111010111010010 | y_o=00011000111111111 | theta_o=00000000000000001
[83.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101010011100100 | x_o=00111010111010010 | y_o=00011000111111111 | theta_o=00000000000000001
[84.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101010011100100 | x_o=00111010011101110 | y_o=00011010000001101 | theta_o=00000000000000001
[85.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101011100100000 | x_o=00111010011101110 | y_o=00011010000001101 | theta_o=00000000000000001
[86.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101011100100000 | x_o=00111010000000010 | y_o=00011011000010111 | theta_o=00000000000000001
[87.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101100101011100 | x_o=00111010000000010 | y_o=00011011000010111 | theta_o=00000000000000001
[88.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101100101011100 | x_o=00111001100001000 | y_o=00011100000011101 | theta_o=11111111111111111
[89.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101101110011000 | x_o=00111001100001000 | y_o=00011100000011101 | theta_o=11111111111111111
[90.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101101110011000 | x_o=00111001000001001 | y_o=00011101000011100 | theta_o=11111111111111111
[91.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101110111010100 | x_o=00111001000001001 | y_o=00011101000011100 | theta_o=11111111111111111
[92.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00101110111010100 | x_o=00111000100000001 | y_o=00011110000011000 | theta_o=11111111111111111
[93.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110000000010000 | x_o=00111000100000001 | y_o=00011110000011000 | theta_o=11111111111111111
[94.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110000000010000 | x_o=00110111111110000 | y_o=00011111000001110 | theta_o=11111111111111111
[95.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110001001001100 | x_o=00110111111110000 | y_o=00011111000001110 | theta_o=11111111111111111
[96.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110001001001100 | x_o=00110111011011001 | y_o=00011111111111111 | theta_o=11111111111111111
[97.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110010010000111 | x_o=00110111011011001 | y_o=00011111111111111 | theta_o=11111111111111111
[98.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110010010000111 | x_o=00110110110110101 | y_o=00100000111101011 | theta_o=11111111111111111
[99.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110011011000011 | x_o=00110110110110101 | y_o=00100000111101011 | theta_o=11111111111111111
[100.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110011011000011 | x_o=00110110010001011 | y_o=00100001111010100 | theta_o=11111111111111111
[101.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110100011111111 | x_o=00110110010001011 | y_o=00100001111010100 | theta_o=11111111111111111
[102.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110100011111111 | x_o=00110101101010001 | y_o=00100010110111001 | theta_o=11111111111111111
[103.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110101100111011 | x_o=00110101101010001 | y_o=00100010110111001 | theta_o=11111111111111111
[104.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110101100111011 | x_o=00110101000011010 | y_o=00100011110010000 | theta_o=11111111111111110
[105.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110110101110111 | x_o=00110101000011010 | y_o=00100011110010000 | theta_o=11111111111111110
[106.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110110101110111 | x_o=00110100011010111 | y_o=00100100101101010 | theta_o=11111111111111110
[107.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110111110110011 | x_o=00110100011010111 | y_o=00100100101101010 | theta_o=11111111111111110
[108.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00110111110110011 | x_o=00110011110001100 | y_o=00100101100111000 | theta_o=11111111111111110
[109.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111000111101111 | x_o=00110011110001100 | y_o=00100101100111000 | theta_o=11111111111111110
[110.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111000111101111 | x_o=00110011000110101 | y_o=00100110100000111 | theta_o=11111111111111110
[111.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111010000101011 | x_o=00110011000110101 | y_o=00100110100000111 | theta_o=11111111111111110
[112.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111010000101011 | x_o=00110010011011011 | y_o=00100111011001100 | theta_o=11111111111111110
[113.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111011001100111 | x_o=00110010011011011 | y_o=00100111011001100 | theta_o=11111111111111110
[114.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111011001100111 | x_o=00110001101110110 | y_o=00101000010001011 | theta_o=11111111111111110
[115.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111100010100011 | x_o=00110001101110110 | y_o=00101000010001011 | theta_o=11111111111111110
[116.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111100010100011 | x_o=00110001000001100 | y_o=00101001001000101 | theta_o=00000000000000000
[117.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111101011011111 | x_o=00110001000001100 | y_o=00101001001000101 | theta_o=00000000000000000
[118.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111101011011111 | x_o=00110000010011000 | y_o=00101001111110101 | theta_o=00000000000000000
[119.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111110100011010 | x_o=00110000010011000 | y_o=00101001111110101 | theta_o=00000000000000000
[120.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111110100011010 | x_o=00101111100011100 | y_o=00101010110100100 | theta_o=00000000000000000
[121.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111111101010110 | x_o=00101111100011100 | y_o=00101010110100100 | theta_o=00000000000000000
[122.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00111111101010110 | x_o=00101110110011100 | y_o=00101011101000110 | theta_o=00000000000000000
[123.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000000110010010 | x_o=00101110110011100 | y_o=00101011101000110 | theta_o=00000000000000000
[124.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000000110010010 | x_o=00101110000010010 | y_o=00101100011100110 | theta_o=00000000000000000
[125.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000001111001110 | x_o=00101110000010010 | y_o=00101100011100110 | theta_o=00000000000000000
[126.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000001111001110 | x_o=00101101010000000 | y_o=00101101001111111 | theta_o=00000000000000001
[127.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000011000001010 | x_o=00101101010000000 | y_o=00101101001111111 | theta_o=00000000000000001
[128.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000011000001010 | x_o=00101100011100110 | y_o=00101110000010010 | theta_o=00000000000000001
[129.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000100001000110 | x_o=00101100011100110 | y_o=00101110000010010 | theta_o=00000000000000001
[130.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000100001000110 | x_o=00101011101000110 | y_o=00101110110011100 | theta_o=00000000000000001
[131.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000101010000010 | x_o=00101011101000110 | y_o=00101110110011100 | theta_o=00000000000000001
[132.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000101010000010 | x_o=00101010110100100 | y_o=00101111100011100 | theta_o=00000000000000001
[133.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000110010111110 | x_o=00101010110100100 | y_o=00101111100011100 | theta_o=00000000000000001
[134.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000110010111110 | x_o=00101001111110101 | y_o=00110000010011000 | theta_o=00000000000000001
[135.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000111011111010 | x_o=00101001111110101 | y_o=00110000010011000 | theta_o=00000000000000001
[136.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01000111011111010 | x_o=00101001001000101 | y_o=00110001000001100 | theta_o=00000000000000001
[137.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001000100110110 | x_o=00101001001000101 | y_o=00110001000001100 | theta_o=00000000000000001
[138.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001000100110110 | x_o=00101000010000111 | y_o=00110001101111000 | theta_o=11111111111111111
[139.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001001101110010 | x_o=00101000010000111 | y_o=00110001101111000 | theta_o=11111111111111111
[140.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001001101110010 | x_o=00100111011001010 | y_o=00110010011011101 | theta_o=11111111111111111
[141.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001010110101101 | x_o=00100111011001010 | y_o=00110010011011101 | theta_o=11111111111111111
[142.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001010110101101 | x_o=00100110100000011 | y_o=00110011000110111 | theta_o=11111111111111111
[143.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001011111101001 | x_o=00100110100000011 | y_o=00110011000110111 | theta_o=11111111111111111
[144.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001011111101001 | x_o=00100101100110110 | y_o=00110011110001110 | theta_o=11111111111111111
[145.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001101000100101 | x_o=00100101100110110 | y_o=00110011110001110 | theta_o=11111111111111111
[146.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001101000100101 | x_o=00100100101100110 | y_o=00110100011011001 | theta_o=11111111111111111
[147.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001110001100001 | x_o=00100100101100110 | y_o=00110100011011001 | theta_o=11111111111111111
[148.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001110001100001 | x_o=00100011110001110 | y_o=00110101000011100 | theta_o=11111111111111110
[149.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=01001111010011101 | x_o=00100011110001110 | y_o=00110101000011100 | theta_o=11111111111111110
