[700.0] f_ptr=58 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[710.0] f_ptr=59 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[720.0] f_ptr=59 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[730.0] f_ptr=60 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[740.0] f_ptr=61 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[750.0] f_ptr=62 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[760.0] f_ptr=63 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[770.0] f_ptr=64 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[780.0] f_ptr=65 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[790.0] f_ptr=65 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[800.0] f_ptr=66 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[810.0] f_ptr=67 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[820.0] f_ptr=68 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[830.0] f_ptr=69 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[840.0] f_ptr=70 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[850.0] f_ptr=71 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[860.0] f_ptr=71 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[870.0] f_ptr=72 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[880.0] f_ptr=73 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[890.0] f_ptr=74 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[900.0] f_ptr=75 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[910.0] f_ptr=76 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[920.0] f_ptr=77 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[930.0] f_ptr=77 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[940.0] f_ptr=78 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[950.0] f_ptr=79 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[960.0] f_ptr=80 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[970.0] f_ptr=81 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[980.0] f_ptr=82 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[990.0] f_ptr=83 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1000.0] f_ptr=83 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1010.0] f_ptr=84 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1020.0] f_ptr=85 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1030.0] f_ptr=86 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1040.0] f_ptr=87 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1050.0] f_ptr=88 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1060.0] f_ptr=89 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1070.0] f_ptr=89 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1080.0] f_ptr=90 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1090.0] f_ptr=91 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1100.0] f_ptr=92 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1110.0] f_ptr=93 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1120.0] f_ptr=94 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1130.0] f_ptr=95 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1140.0] f_ptr=95 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1150.0] f_ptr=96 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1160.0] f_ptr=97 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1170.0] f_ptr=98 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1180.0] f_ptr=99 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1190.0] f_ptr=100 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1200.0] f_ptr=101 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1210.0] f_ptr=101 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1220.0] f_ptr=102 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1230.0] f_ptr=103 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1240.0] f_ptr=104 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1250.0] f_ptr=105 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1260.0] f_ptr=106 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1270.0] f_ptr=107 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1280.0] f_ptr=107 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1290.0] f_ptr=108 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1300.0] f_ptr=109 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1310.0] f_ptr=110 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1320.0] f_ptr=111 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1330.0] f_ptr=112 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1340.0] f_ptr=113 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1350.0] f_ptr=113 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1360.0] f_ptr=114 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1370.0] f_ptr=115 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1380.0] f_ptr=116 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1390.0] f_ptr=117 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1400.0] f_ptr=118 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1410.0] f_ptr=119 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1420.0] f_ptr=119 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1430.0] f_ptr=120 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1440.0] f_ptr=121 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1450.0] f_ptr=122 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1460.0] f_ptr=123 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1470.0] f_ptr=124 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1480.0] f_ptr=125 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1490.0] f_ptr=125 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1500.0] f_ptr=126 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1510.0] f_ptr=127 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1520.0] f_ptr=128 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1530.0] f_ptr=129 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1540.0] f_ptr=130 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1550.0] f_ptr=131 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1560.0] f_ptr=131 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1570.0] f_ptr=132 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[1580.0] f_ptr=133 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1590.0] f_ptr=134 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1600.0] f_ptr=135 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1610.0] f_ptr=136 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1620.0] f_ptr=137 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1630.0] f_ptr=137 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[1640.0] f_ptr=138 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
