[176.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[177.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[178.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[179.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[180.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[181.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[182.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[183.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[184.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[185.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[186.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[187.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[188.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[189.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[190.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
